NOMBRE,POBLACION
Aldea Pablo VI,792
Alejandro Echavarría,1316
Alejandría,562
Alfonso López,2063
Altamira,891
Altavista,2688
Altos del Poblado,553
Andalucía,2000
Antonio Nariño,3030
Aranjuez,1305
Asomadera No.1,1940
Asomadera No.2,112
Asomadera No.3,9
Astorga,24
Aures No.1,4607
Aures No.2,5458
B. Cerro El Volador,156
Barrio Caicedo,877
Barrio Colombia,31
Barrio Colón,390
Barrio Cristóbal,820
Barrios de Jesús,2467
Batallón Cuarta Brigada,287
Batallón Girardot,155
Belalcázar,1119
Belencito,631
Bello Horizonte,1363
Belén,889
Berlín,1859
Bermejal-Los Álamos,1557
Betania,1210
Blanquizal,1208
Bolivariana,351
Bomboná No.1,976
Bomboná No.2,3942
Bosques de San Pablo,328
Boston,1782
Boyacá,805
Brasilia,1744
Buenos Aires,1269
Calasanz,363
Calasanz Parte Alta,1593
Calle Nueva,40
Campo Alegre,777
Campo Amor,877
Campo Valdés No.1,2002
Campo Valdés No.2,3094
Caribe,60
Carlos E. Restrepo,520
Carpinelo,3233
Castilla,3906
Castropol,1226
Cataluña,1820
Cementerio Universal,4
Centro Administrativo,4
Cerro Nutibara,73
Corazón de Jesús,430
Cristo Rey,1621
Cuarta Brigada,602
Cucaracho,2364
Córdoba,1624
Diego Echavarría,607
Doce de Octubre No.1,2993
Doce de Octubre No.2,2637
Ecoparque Cerro El Volador,498
Eduardo Santos,849
El Castillo,183
El Chagualo,853
El Compromiso,1010
El Corazón,887
El Danubio,621
El Diamante,3053
El Diamante No.2,811
El Nogal-Los Almendros,265
El Pesebre,1886
El Pinal,3500
El Poblado,13
El Pomar,656
El Progreso,515
El Raizal,2601
El Rincón,3845
El Rodeo,0
El Salado,3471
El Salvador,2458
El Socorro,1597
El Tesoro,1541
El Triunfo,983
El Velódromo,567
Enciso,2269
Estación Villa,155
Estadio,447
Facultad Veterinaria y Zootecnia U.de.A.,0
Facultad de Minas,86
Ferrini,605
Florencia,1718
Florida Nueva,489
Francisco Antonio Zea,1683
Fuente Clara,563
Fátima,928
Gerona,1552
Girardot,1792
Granada,351
Granizal,2577
Guayabal,256
Guayaquil,93
Héctor Abad Gómez,806
Jardín Botínico,0
Jesús Nazareno,322
Juan Pablo II,656
Juan XXIII La Quiebra,1872
Kennedy,5063
La Aguacatala,213
La Alpujarra,2
La América,965
La Avanzada,1791
La Candelaria,309
La Castellana,1530
La Colina,2366
La Cruz,2727
La Esperanza,3729
La Esperanza No.2,751
La Floresta,985
La Florida,907
La Francia,3360
La Frontera,1229
La Gloria,1506
La Hondonada,2189
La Isla,3072
La Ladera,481
La Libertad,2478
La Loma de Los Bernal,2462
La Mansión,1325
La Milagrosa,935
La Mota,1374
La Palma,566
La Pilarica,948
La Piñuela,1322
La Pradera,2199
La Rosa,1540
La Salle,3593
La Sierra,697
Lalinde,253
Las Acacias,483
Las Brisas,1232
Las Esmeraldas,1249
Las Estancias,2153
Las Granjas,5364
Las Independencias,3483
Las Lomas No.1,225
Las Lomas No.2,305
Las Mercedes,1410
Las Palmas,1428
Las Playas,1299
Las Violetas,2259
Laureles,1071
Llanaditas,2841
Lorena,837
Loreto,5726
Los Alcázares,999
Los Alpes,707
Los Balsos No.1,1367
Los Balsos No.2,898
Los Cerros El Vergel,1593
Los Colores,1668
Los Conquistadores,810
Los Mangos,4099
Los Naranjos,1048
Los Pinos,279
Los Ángeles,1139
López de  Mesa,681
Manila,53
Manrique Central No.1,1154
Manrique Central No.2,904
Manrique Oriental,2430
María Cano-Carambolas,1974
Metropolitano,630
Mirador del Doce,1116
Miraflores,1139
Miranda,965
Miravalle,349
Monteclaro,3169
Moravia,5819
Moscú No.1,1708
Moscú No.2,3101
Naranjal,219
Nueva Villa de La Iguaná,494
Nueva Villa del Aburrá,243
Nuevos Conquistadores,2391
Ocho de Marzo,459
Olaya Herrera,2046
Oleoducto,72
Oriente,1185
Pablo VI,1051
Pajarito,1401
Palenque,1243
Palermo,1103
Parque Juan Pablo II,308
Parque Norte,0
Patio Bonito,477
Pedregal,3573
Perpetuo Socorro,12
Picachito,1080
Picacho,4192
Playón de Los Comuneros,2403
Plaza de Ferias,0
Popular,5483
Prado,1029
Progreso No.2,1213
Robledo,782
Rosales,555
San Antonio,1176
San Benito,82
San Bernardo,2580
San Diego,1007
San Germán,1338
San Isidro,3033
San Javier No.1,656
San Javier No.2,543
San Joaquín,676
San José La Cima No.1,784
San José La Cima No.2,486
San Lucas,1268
San Martín de Porres,2979
San Miguel,1429
San Pablo,2661
San Pedro,676
Santa Cruz,3012
Santa Fé,957
Santa Inés,3585
Santa Lucía,897
Santa Margarita,2297
Santa María de Los Ángeles,720
Santa Mónica,855
Santa Rosa de Lima,578
Santa Teresita,856
Santander,2726
Santo Domingo Savio No.1,5238
Santo Domingo Savio No.2,2163
Sevilla,193
Simón Bolívar,503
Sin Nombre,2111
Sucre,935
Suramericana,279
Tejelo,1662
Tenche,0
Terminal de Transporte,0
Toscana,1366
Trece de Noviembre,2226
Tricentenario,979
Trinidad,1698
Universidad Nacional,12
Universidad de Antioquia,3
Veinte de Julio,2171
Versalles No.1,3770
Versalles No.2,1377
Villa Carlota,485
Villa Flora,996
Villa Guadalupe,2101
Villa Hermosa,1842
Villa Lilliam,1173
Villa Niza,1447
Villa Nueva,533
Villa Turbay,1022
Villa del Socorro,3058
Villatina,2800
